#HIP,PMRA,PMDE
5034,85.1,-120.26
5035,-19.66,-24.42
5036,30.33,-13.69
5037,16.38,-1.51
5038,25.75,3.37
5039,-49.08,-52.7
5040,11.97,-10.88
5041,317.37,13.49
5042,-44.23,-23.51
5043,25.0,9.45
5044,8.49,0.12
5045,78.23,-21.8
5046,86.81,30.26
5047,30.59,104.6
5048,12.75,-5.99
5049,11.34,-14.23
5051,19.37,-1.67
5050,51.4,-13.17
5052,-5.4,-3.8
5053,13.78,-5.07
5054,-168.97,-527.71
5055,-5.06,-13.1
5056,20.14,-12.79
5057,25.65,-12.77
5058,-11.95,-16.12
5059,-89.47,-73.96
5060,3.78,-40.75
5061,156.32,-57.41
5062,15.47,-6.75
5063,60.18,18.44
5064,-14.47,-15.33
5065,-27.56,-5.49
5066,29.84,1.02
5067,-10.61,2.28
5068,-28.9,1.93
5069,5.67,-7.75
5070,18.65,-1.37
5071,61.33,-26.99
5072,8.92,-24.66
5073,151.24,-100.12
5074,29.08,-16.31
5075,1.94,-9.12
5076,55.17,13.02
5077,-2.63,0.81
5078,0.46,-56.86
5079,14.6,-18.92
5080,-0.36,-42.04
5081,6.94,53.33
5082,103.37,46.14
5083,-1.33,-14.98
5085,-12.44,13.7
5084,-5.94,17.82
5086,-1.83,-37.65
5087,-2.8,4.6
5088,15.38,-0.76
5089,1.37,-0.44
5090,-3.62,-9.54
5091,5.45,-12.24
5092,-1.89,-5.88
5093,4.04,-6.98
5094,5.74,-6.21
5095,-185.48,-233.53
5096,-5.63,-10.83
5097,71.72,18.46
5098,39.99,-15.5
5099,-25.96,-14.63
5100,-8.46,5.68
5101,15.81,4.05
5102,38.99,-27.52
5103,-0.87,-32.42
5104,63.22,50.11
5105,-1.18,3.26
5106,227.88,-164.47
5107,-9.08,2.46
5108,13.16,-3.76
5109,-9.09,-26.3
5110,6.41,-196.83
5111,18.87,-1.26
5113,17.69,-20.96
5112,7.17,-10.37
5114,-3.19,275.37
5115,-5.58,-35.95
5116,-31.17,-9.19
5117,35.62,2.25
5118,-0.42,-46.1
5119,-8.93,-11.78
5120,2.64,-0.22
5121,-30.48,-34.24
5122,310.23,79.8
5123,15.86,-9.64
5124,158.46,-76.95
5125,15.15,-6.94
5126,-0.18,-14.57
5127,24.03,-14.21
5128,12.45,-11.72
5129,12.05,18.36
5130,47.19,-18.99
5131,44.3,-14.32
5132,53.93,-12.63
5133,12.41,-41.13
5134,-51.32,-0.91
5135,53.1,30.58
5136,32.13,-11.7
5137,116.72,32.53
5138,-0.54,0.99
5139,4.37,-12.81
5141,11.75,-119.26
5140,120.29,-61.11
5142,11.83,-28.48
5143,6.1,24.23
5145,-2.03,-67.63
5144,35.56,-126.7
5146,73.09,61.64
5147,3.72,-9.5
5148,-6.41,-9.41
5149,-15.87,-22.21
5150,-33.37,-17.39
5151,10.84,-5.29
5152,-27.46,-45.66
5153,-10.91,3.45
5154,5.68,-12.97
5155,-50.14,-162.38
5156,-37.79,-40.15
5157,-10.89,15.59
5158,201.83,-107.22
5159,-28.39,-39.26
5160,16.52,18.65
5161,1.61,-2.4
5162,4.0,0.56
5163,159.55,-147.57
5165,-70.16,31.6
5164,30.98,5.89
5166,36.09,-24.39
5167,25.04,-82.4
5168,39.71,59.99
