hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
732,2.26106347,-35.09184956,6.49,0.82,37.0,-12.15,0.417,7.78,8.258,7.806
731,2.26145881,27.65123946,22.5,2.96,223.28,146.63,1.26,11.65,,
733,2.26154948,9.84996128,10.46,1.13,124.98,2.32,0.714,8.58,9.437,8.65
734,2.26186026,-24.33505454,3.89,1.6,-0.59,21.18,0.432,10.37,10.717,10.385
735,2.26322766,22.66426725,6.32,1.08,-2.96,-0.7,0.383,9.23,9.662,9.257
736,2.26412852,-59.28059246,8.35,1.16,-58.26,-156.88,0.811,9.2,10.214,9.28
737,2.26490408,40.84327725,16.09,0.75,126.0,-171.99,0.8,6.93,8.124,7.039
738,2.266269,-27.12235235,42.82,2.61,696.09,87.88,1.493,11.73,,
739,2.26631833,-28.33000796,4.32,1.37,48.22,-31.28,0.549,9.32,9.977,9.365
740,2.26793216,19.92463831,8.73,0.77,10.08,20.67,0.476,7.11,7.66,7.173
741,2.27351039,-36.65060208,0.11,1.41,18.31,5.77,1.01,9.79,11.09,9.912
742,2.27673999,-50.60776281,2.98,1.01,4.31,-14.99,1.339,8.21,9.932,8.334
743,2.27906762,-50.013628,1.37,1.61,0.01,-7.69,1.4,8.42,9.934,8.562
744,2.28568036,-50.16678657,3.15,0.72,19.89,-6.51,-0.122,7.05,6.89,7.021
745,2.28833154,-38.28947361,6.75,1.19,164.62,-63.85,0.671,9.26,10.09,9.319
746,2.29204036,59.15021814,59.89,0.56,523.39,-180.42,0.38,2.28,2.72,2.318
747,2.29237517,44.72184555,4.8,2.04,53.46,-33.26,0.461,8.77,9.286,8.796
748,2.29606736,21.05936782,5.87,1.08,23.36,-7.44,0.537,9.25,9.897,9.323
749,2.29783513,-31.47728797,4.36,1.46,44.0,4.53,0.972,9.3,10.54,9.41
750,2.29831313,44.72276734,12.2,9.4,67.05,-38.38,0.525,10.63,11.295,10.734
751,2.30375144,42.25439291,4.56,1.26,10.75,10.07,0.561,9.9,10.596,9.994
752,2.30406964,-0.75219804,6.48,1.77,3.46,8.37,0.617,9.89,10.595,9.929
753,2.31118231,32.47666637,17.75,1.21,133.54,-83.23,0.812,9.33,10.355,9.438
754,2.31514306,25.28231728,22.07,2.31,174.95,-146.75,0.68,7.78,8.627,7.859
755,2.31906353,65.07079864,17.03,0.69,128.28,38.3,0.932,7.02,8.209,7.132
756,2.32522728,-37.38291472,5.08,2.0,294.26,-60.32,,11.26,,
757,2.32739226,-59.06036312,1.97,1.11,-6.87,-12.43,1.033,8.89,10.171,8.963
758,2.32966922,-41.88642543,7.75,1.28,-17.59,10.88,0.446,9.6,10.116,9.657
759,2.33100682,17.53423872,19.28,0.79,4.44,-130.47,0.644,7.07,7.85,7.143
760,2.33262025,79.71464113,8.56,1.17,106.17,-39.37,0.203,6.01,6.294,6.067
761,2.3375862,-27.9879039,14.57,1.34,72.57,-9.99,0.414,5.42,5.932,5.486
762,2.34694824,-41.04420522,11.89,1.31,136.87,-135.22,0.83,9.11,10.176,9.155
763,2.34695373,58.66590161,1.42,1.15,7.72,-2.76,0.08,8.24,8.307,8.264
764,2.34949364,14.41766587,6.32,1.2,10.58,-8.9,0.442,8.97,9.474,9.005
765,2.35224949,-45.74698836,23.28,0.98,122.15,-180.13,1.013,3.88,5.187,3.993
766,2.35250184,0.07209314,7.58,1.2,-39.43,-39.4,0.484,8.59,9.133,8.618
767,2.36489397,46.38790478,4.96,0.74,11.36,-13.48,0.031,7.17,7.2,7.172
768,2.36659201,19.11569982,13.8,1.3,276.8,38.24,0.66,7.94,8.792,8.031
769,2.36674758,1.24402533,4.21,1.0,27.35,4.18,1.22,7.27,8.856,7.403
770,2.36753959,-12.03518146,1.88,1.4,-14.63,-5.77,0.49,9.59,10.148,9.661
771,2.3767445,-10.18755017,2.08,1.14,6.73,3.41,1.439,7.94,9.822,8.097
772,2.377913,-34.11077214,16.26,0.98,-16.34,-37.18,0.687,8.52,9.369,8.597
773,2.37919673,19.55922468,5.36,0.88,21.33,-53.79,1.005,7.59,8.871,7.699
