name,raj2000,dej2000,dist,pmra,pmde,rv,rcluster,n_star
ASCC 10,51.765,35.03,700.0,-8.05556E-7,-4.44444E-7,,0.53,10624
King 6,52.0125,56.465,632.0,6.80556E-7,-5.05556E-7,,0.26,16831
Alessi 13,52.02,-35.87,112.0,9.94444E-6,-9.08333E-7,19.53,3.18,50791
NGC 1333,52.23,31.37,324.0,1.53056E-6,-2.85556E-6,,0.57,8361
Czernik 16,52.7925,52.632,2700.0,-7.27778E-7,-2.47222E-7,,0.145,10496
NGC 1342,53.004,37.357,665.0,-8.66667E-7,-1.52778E-6,-11.5,0.275,6834
ASCC 11,53.07,44.84,837.0,3.5E-7,-1.31944E-6,0.73,0.41,15866
FSR 0632,53.145,59.21,1037.0,5.19444E-7,-6.44444E-7,,0.155,10853
Berkeley 9,53.163,52.65,1550.0,-6.63889E-7,-6.75E-7,,0.13,10024
FSR 0682,53.355,36.826,1800.0,-8.88889E-8,-1.11667E-6,,0.115,3388
NGC 1348,53.55,51.4,1800.0,5.33333E-7,-9.30556E-7,,0.11,8665
Berkeley 10,54.9,66.49,2201.0,-4.77778E-7,-3.38889E-7,,0.235,9046
SAI 30,55.185,82.22,2600.0,-5.08333E-7,7.05556E-7,,0.08,1975
FSR 0634,55.095,59.43,2301.0,1.08333E-7,8.33333E-8,,0.1,8339
FSR 0691,55.335,34.655,1600.0,6.36111E-7,-1.38056E-6,,0.135,3296
IC 348,56.1525,32.15,480.0,1.20278E-6,-2.825E-6,16.03,0.26,4305
Juchert 11,56.835,53.902,3000.0,-9.02778E-7,-1.39444E-6,,0.09,6977
Pleiades,56.505,24.37,130.0,5.38889E-6,-1.27778E-5,5.51,3.2,473595
Tombaugh 5,57.015,59.07,1350.0,3.33333E-7,-3.94444E-7,-5.8,0.27,16543
Per OB2,57.7575,35.1,400.0,7.19444E-7,-1.19722E-6,23.05,3.2,242682
NGC 1444,57.3495,52.64,1300.0,-6.27778E-7,-1.16667E-6,2.0,0.1,7957
Czernik 17,58.1055,61.96,2900.0,4.72222E-8,-6.08333E-7,,0.07,5687
Juchert 9,58.8375,58.4,3971.0,-1.41667E-7,4.88889E-7,,0.07,7195
FSR 0654,58.9005,54.017,4000.0,-4.13889E-7,3.27778E-7,,0.07,6682
FSR 0655,59.043,53.877,1742.0,3.36111E-7,-6.22222E-7,,0.09,7181
FSR 0724,59.283,32.021,1685.0,7.22222E-8,-2.21389E-6,,0.12,3211
NGC 1520,59.4675,-76.8,1023.0,1.37778E-6,-9.36111E-7,,0.13,1670
FSR 0656,59.715,53.64,1400.0,-4.86111E-7,5.83333E-8,,0.18,12399
King 7,59.778,51.782,2628.0,-7.11111E-7,3.5E-7,,0.35,23290
Alicante 1,59.7855,57.24,4299.0,-4.88889E-7,3.77778E-7,-32.4,0.06,7286
Cam OB3,60.195,56.45,2801.0,-2.77778E-7,-4.88889E-7,-27.6,0.66,52843
Juchert 19,60.5775,52.45,3000.0,-1.29167E-6,-1.06389E-6,,0.065,7742
FSR 0660,60.615,51.917,3213.0,-1.22778E-6,1.69444E-7,,0.1,8770
FSR 0689,60.765,41.303,1705.0,-5.61111E-7,-2.61944E-6,,0.14,5655
FSR 0653,60.9555,55.419,7317.0,-6.86111E-7,-7.38889E-7,,0.07,8094
NGC 1496,61.11,52.645,1300.0,-1.26389E-6,3.16667E-7,-14.43,0.065,7498
FSR 0695,61.455,39.2,1786.0,-2.72222E-7,-1.42222E-6,,0.115,4891
FSR 0663,61.545,51.91,1700.0,-9.25E-7,5.55556E-7,,0.085,7867
FSR 0692,61.5075,40.168,1520.0,-6.22222E-7,-1.51111E-6,,0.13,5556
FSR 0698,61.65,39.135,1963.0,-5.30556E-7,-2.35833E-6,,0.095,4458
FSR 0667,61.8075,51.167,1818.0,-1.83333E-7,-2.91667E-7,,0.075,6986
NGC 1502,61.9575,62.331,1023.0,2.77778E-9,-1.5E-7,-13.95,0.3,14890
FSR 0757,62.4705,26.57,1900.0,-4.33333E-7,-9.97222E-7,,0.1,2655
NGC 1513,62.4255,49.51,1400.0,-3.0E-7,-9.69444E-7,-15.13,0.155,10428
FSR 0700,62.6025,39.25,1379.0,-7.30556E-7,-2.17222E-6,,0.11,5412
Juchert 20,62.7075,46.868,2812.0,-6.55556E-7,-1.69722E-6,,0.11,8184
FSR 0674,63.0945,48.728,3400.0,-6.58333E-7,-4.94444E-7,,0.13,8582
NGC 1557,63.285,-70.465,1820.0,4.83333E-7,1.99444E-6,,0.22,2041
LDN 1495W,63.6375,28.49,1306.0,3.30556E-7,-7.16667E-7,12.3,0.55,11205
NGC 1528,63.8475,51.19,950.0,3.33333E-7,-3.83333E-7,-9.15,0.45,29645
SAI 36,64.2075,41.075,3918.0,-1.05278E-6,-1.55278E-6,,0.07,4307
FSR 0765,64.4925,26.211,2100.0,7.13889E-7,-1.38056E-6,8.9,0.17,3970
FSR 0709,64.554,38.145,2200.0,-5.27778E-7,-1.65278E-6,,0.14,4159
Waterloo 1,64.6575,52.86,4400.0,-7.75E-7,9.08333E-7,,0.13,9951
FSR 0697,64.6725,41.526,1600.0,-1.75E-7,-1.40833E-6,-8.3,0.115,5685
IC 361,64.74,58.25,3000.0,1.6E-6,-1.51111E-6,,0.22,12375
Mayer 2,64.938,53.175,2100.0,-7.41667E-7,4.36111E-7,,0.075,7698
Berkeley 11,65.115,44.915,1964.0,-4.80556E-7,-1.81389E-6,,0.165,10606
NGC 1545,65.295,50.252,863.0,-1.22222E-7,4.05556E-7,-10.84,0.13,9880
NGC 1548,65.3325,36.92,2501.0,-2.63889E-7,-1.01667E-6,,0.13,5246
FSR 0762,65.4255,27.235,2500.0,5.0E-8,-1.36111E-6,20.1,0.125,3291
FSR 0671,65.6175,51.855,3501.0,-3.33333E-7,5.80556E-7,,0.1,8297
FSR 0741,65.8725,33.555,4000.0,1.41667E-7,-1.29722E-6,-23.6,0.1,4544
FSR 0756,66.054,29.715,2702.0,3.05556E-7,-1.23611E-6,,0.105,3942
FSR 0686,66.465,46.095,1073.0,-2.22222E-7,-1.075E-6,-16.5,0.18,12745
FSR 0606,66.729,73.38,2499.0,9.69444E-7,-3.36111E-7,,0.11,2709
Czernik 18,66.957,30.945,1263.0,-7.36111E-7,-1.70833E-6,,0.14,4641
B 217,66.8055,25.965,2800.0,-5.55556E-9,-1.06667E-6,-24.0,0.2,4137
FSR 0773,67.416,26.005,3000.0,1.80556E-7,-2.19722E-6,23.0,0.09,2849
FSR 0728,67.47,38.5,1816.0,-5.66667E-7,-2.05556E-6,,0.16,6630
NGC 1579,67.5465,35.279,730.0,1.78333E-6,-2.02222E-6,,0.42,14008
NGC 1582,67.875,43.79,1000.0,-4.63889E-7,-4.55556E-7,5.53,0.41,27885
FSR 0804,68.6475,21.675,2025.0,9.41667E-7,-8.77778E-7,,0.135,3078
NGC 1605,68.73,45.275,2600.0,-1.30556E-7,-8.55556E-7,,0.115,10362
