#time X Y Z
2018-06-18_05:20:17 -1.391467508592411E8 -6.032743498573069E7 -9920233.26868375
2018-06-18_22:51:29 -1.3925484381300417E8 -6.037437854741417E7 -8074628.847520961
2018-06-19_16:22:41 -1.3934193016994599E8 -6.0412209403734975E7 -6227932.5416659005
2018-06-20_09:53:53 -1.3940802313462493E8 -6.044093109693192E7 -4380431.432185658
2018-06-21_03:25:05 -1.394531391233621E8 -6.046054893029613E7 -2532407.7536200425
2018-06-21_20:56:17 -1.3947729688255787E8 -6.047106961280714E7 -684139.2610793854
2018-06-22_14:27:29 -1.3948051683665395E8 -6.047250097765345E7 1164100.2791170308
2018-06-23_07:58:41 -1.394628206397489E8 -6.046485177210623E7 3012040.5646455334
2018-06-24_01:29:53 -1.3942423087856323E8 -6.044813150414359E7 4859414.274637203
2018-06-24_19:01:05 -1.3936477087160063E8 -6.042235032772569E7 6705956.623543257
2018-06-25_12:32:17 -1.3928446452439225E8 -6.03875189523793E7 8551404.958830465
2018-06-26_06:03:29 -1.391833362225354E8 -6.0343648569904834E7 1.0395498375865595E7
2018-06-26_23:34:41 -1.3906141076269332E8 -6.0290750797710136E7 1.2237977336153777E7
2018-06-27_17:05:53 -1.3891871332964116E8 -6.022883764141986E7 1.407858329018858E7
2018-06-28_10:37:05 -1.3875526952453625E8 -6.015792147853105E7 1.5917058316669874E7
2018-06-29_04:08:17 -1.3857110543979245E8 -6.007801506119431E7 1.775314479641797E7
2018-06-29_21:39:29 -1.3836624776664034E8 -5.9989131532523654E7 1.958658513131508E7
2018-06-30_15:10:41 -1.381407239175994E8 -5.989128444919815E7 2.141712150840715E7
2018-07-01_08:41:53 -1.378945621501183E8 -5.978448780470022E7 2.3244495696387727E7
2018-07-02_02:13:05 -1.3762779168672547E8 -5.96687560513473E7 2.506844885617899E7
2018-07-02_19:44:17 -1.3734044283581135E8 -5.954410412313629E7 2.688872135237814E7
2018-07-03_13:15:29 -1.3703254712170503E8 -5.941054746358036E7 2.8705052558606405E7
2018-07-04_06:46:41 -1.367041374297421E8 -5.926810206149381E7 3.0517180661930047E7
2018-07-05_00:17:53 -1.363552481655052E8 -5.9116784494476564E7 3.2324842472991295E7
2018-07-05_17:49:05 -1.359859154222822E8 -5.895661197663724E7 3.4127773242578104E7
2018-07-06_11:20:17 -1.3559617715326935E8 -5.878760240675158E7 3.592570647332182E7
2018-07-07_04:51:29 -1.3518607335829908E8 -5.860977441748914E7 3.771837370368221E7
2018-07-07_22:22:41 -1.3475564631564707E8 -5.842314743491631E7 3.9505504241923675E7
2018-07-08_15:53:53 -1.3430494090981308E8 -5.822774176743944E7 4.128682484493716E7
2018-07-09_09:25:05 -1.3383400511450842E8 -5.802357874994828E7 4.306205937151525E7
2018-07-10_02:56:17 -1.3334289067642364E8 -5.7810680967441574E7 4.4830928484301634E7
2018-07-10_20:27:29 -1.3283165400684606E8 -5.75890725705749E7 4.659314951236722E7
2018-07-11_13:58:41 -1.3230035723305774E8 -5.7358779675442755E7 4.834843659293703E7
2018-07-12_07:29:53 -1.317490692926661E8 -5.711983081134076E7 5.009650121392752E7
2018-07-13_01:01:05 -1.3117786691878091E8 -5.687225736278765E7 5.183705318102844E7
2018-07-13_18:32:17 -1.305868353373621E8 -5.661609393494277E7 5.356980199057817E7
2018-07-14_12:03:29 -1.2997606853223716E8 -5.635137857836506E7 5.529445847565992E7
2018-07-15_05:34:41 -1.2934566899642842E8 -5.6078152827885754E7 5.701073653291564E7
2018-07-15_23:05:53 -1.2869574697827487E8 -5.579646154234908E7 5.871835470807009E7
