Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
CVnII,194.29166666666663,34.320833333333326,0.16,12.81,16.95,2.5,0.61,-129,70,-3,Sph
NGC4861,194.7583333333333,34.860277777777775,7.3,10.46,12.9,3.63,0.38,842,90,9,Im
KK166,192.30541666666664,35.6125,4.74,13.47,17.62,0.6,0.59,,73,-3,Tr
KK152,188.35374999999996,33.351388888888884,6.9,13.88,16.3,1.07,0.43,838,83,10,Ir
MAPS1236+33,189.20583333333332,33.61333333333333,11.7,14.49,16.9,0.56,0.43,526,83,10,Ir
NGC4534,188.52291666666665,35.51833333333333,9.8,11.21,13.2,3.02,0.66,802,49,8," "
UGC07605,187.16249999999997,35.71805555555555,4.43,12.4,14.76,1.48,0.73,310,49,10,Ir
DDO127,187.11874999999998,37.23333333333333,6.89,12.57,14.98,1.62,0.5,275,72,10,Ir
UGC07699,188.19999999999996,37.62166666666666,14.5,11.15,13.3,3.98,0.27,495,77,7," "
BTS142,188.2808333333333,38.1161111111111,10.0,16.04,18.44,0.33,0.98,719,13,10,Ir
DDO147,191.74916666666664,36.476388888888884,5.4,12.7,15.12,1.45,0.79,331,42,10,Ir
BTS146,190.00874999999996,38.00055555555555,8.5,15.08,17.5,0.34,0.55,446,67,10,Ir
IC3687,190.56291666666664,38.50194444444444,4.57,11.12,13.79,5.13,0.88,350,32,10,Ir
Arp211,189.33874999999998,38.74527777777777,6.61,13.32,15.74,0.85,0.57,458,65,10,Ir
LV J1243+4127,190.9820833333333,41.45694444444444,6.09,14.78,17.2,1.38,0.43,402,83,10,Ir
IC4182,196.45541666666665,37.60583333333333,4.7,9.72,12.02,6.61,0.92,321,23,8," "
CGCG 217-018,198.2158333333333,40.54305555555555,8.33,12.59,14.93,1.0,0.67,555,55,9,BCD
KK193,198.87999999999997,41.50138888888888,8.9,16.29,18.7,0.56,0.91,,27,10,Tr
KK191,198.41541666666663,42.04416666666666,6.0,15.8,18.2,0.42,0.96,,18,10,Tr
NGC5055,198.95541666666665,42.02916666666666,8.99,5.61,9.32,16.22,0.57,500,58,4," "
KKH82,198.2445833333333,41.78666666666666,8.06,14.0,16.4,1.15,0.79,529,42,10,Tr
NGC5023,198.04958333333332,44.0386111111111,6.61,9.74,12.85,7.24,0.11,407,90,7," "
NGC4736,192.72291666666663,41.11944444444444,4.66,5.11,8.7,15.14,0.81,308,38,2," "
MAPS1249+44,192.37916666666663,44.35916666666666,7.84,14.69,17.1,0.47,0.53,513,69,9,Im
BTS157,192.80541666666664,47.070833333333326,8.83,15.01,17.5,0.52,0.82,572,39,10,Ir
DDO126,186.77124999999998,37.1425,4.88,11.53,14.12,2.88,0.63,217,59,10,Ir
KDG105,185.42916666666665,37.987222222222215,7.6,14.28,16.7,0.83,0.59,567,63,10,Ir
NGC4244,184.3745833333333,37.8075,4.49,7.72,10.88,19.5,0.11,247,90,6," "
KUG 1218+387,185.22874999999996,38.430277777777775,8.03,12.98,15.4,1.17,0.71,570,51,9,BCD
UGC7719,188.50249999999997,39.01944444444444,9.2,12.59,15.25,2.14,0.29,679,75,8," "
UGC07774,189.09374999999997,40.00527777777777,22.6,11.11,14.6,3.16,0.16,528,89,7," "
UGC7678,188.00166666666664,39.83194444444444,6.9,12.48,14.5,1.78,0.52,679,70,9,Im
UGC7751,188.79916666666665,41.06083333333333,7.9,14.05,16.5,1.21,0.34,605,90,9,Im
NGC4618,190.38666666666663,41.150833333333324,7.9,8.66,11.31,4.17,0.76,536,41,6," "
NGC4625,190.4695833333333,41.273888888888884,7.9,9.75,13.03,1.66,0.78,606,39,7," "
NGC4490,187.65166666666664,41.643611111111106,5.8,7.35,9.76,6.31,0.49,586,62,7," "
MAPS1231+42,187.78749999999997,42.09416666666666,5.8,15.38,17.8,0.33,0.68,563,54,10,Ir
NGC4485,187.62999999999997,41.699999999999996,5.8,10.58,12.32,2.34,0.7,480,46,8," "
KK149,187.21791666666664,42.17777777777777,8.9,12.56,15.01,0.93,0.63,407,59,10,Ir
UGC07690,188.11208333333332,42.70416666666666,11.2,11.4,13.13,2.09,0.79,536,38,8," "
KK151,187.59916666666663,42.90138888888888,6.56,13.38,15.8,1.12,0.42,436,87,9,Im
DDO129,187.18416666666664,43.22416666666666,8.9,11.01,13.67,2.82,0.89,538,27,8," "
DDO125,186.92416666666665,43.49388888888888,2.74,10.23,12.95,3.89,0.56,206,66,9,Im
LV J1228+4358,187.1870833333333,43.971666666666664,4.07,11.77,14.2,3.98,0.27,,90,10,Tr
NGC4449,187.04666666666665,44.09444444444444,4.21,7.25,9.99,6.76,0.71,201,45,8," "
KK133,184.88666666666663,43.38638888888888,8.23,15.3,17.7,0.47,0.68,561,54,10,Ir
UGC07271,183.88916666666665,43.43416666666666,18.6,13.16,14.9,2.4,0.34,546,72,7," "
UGC07320,184.36874999999998,44.811388888888885,9.2,13.0,15.4,1.2,0.44,541,81,10,Ir
NGC4242,184.3758333333333,45.61944444444444,7.9,9.12,11.59,5.5,0.76,517,41,7," "
NGC4144,182.4970833333333,46.457222222222214,7.24,9.39,12.05,6.17,0.21,265,82,7," "
LV J1203+4739,180.74999999999997,47.65416666666666,7.49,14.78,17.2,0.94,0.46,492,78,10,Ir
KK160,190.98916666666665,43.66138888888888,4.31,14.98,17.43,0.59,0.75,293,47,10,Ir
UGC07827,189.9120833333333,44.820833333333326,8.5,13.54,15.96,1.25,0.58,553,64,10,Ir
NGC4460,187.1908333333333,44.86444444444444,9.59,9.06,12.26,4.27,0.3,499,90,1," "
UGC07639,187.4708333333333,47.529999999999994,7.14,11.73,14.13,2.14,0.54,385,68,9,Im
UGCA281,186.56666666666663,48.491944444444435,5.68,12.51,15.14,1.05,0.75,279,47,10,Ir
DDO120,185.31249999999997,45.811388888888885,7.06,10.77,13.55,2.4,0.62,463,60,9,Im
CVnHI,185.1808333333333,46.20916666666666,6.5,,,,,420,,11,Ir
NGC4288,185.15874999999997,46.29166666666666,8.05,11.3,13.3,2.34,0.71,533,45,7," "
d1220+4649,185.22916666666663,46.82916666666666,7.8,15.23,19.4,0.25,0.83,,41,-3,Sph
KK136,185.16916666666665,47.000833333333325,7.8,13.33,17.5,0.47,0.87,,36,-3,Sph
KDG101,184.78791666666663,47.089722222222214,7.24,13.33,15.75,1.29,0.59,132,63,10,Ir
d1219+4705,184.9033333333333,47.092499999999994,7.8,14.4,18.6,0.29,0.95,,22,-3,Sph
NGC4258,184.73958333333331,47.303888888888885,7.83,5.46,9.1,18.62,0.39,447,71,4," "
LV J1218+4655,184.54625,46.91694444444444,6.54,14.16,16.83,0.91,0.28,420,76,8," "
LV J1217+4703,184.2920833333333,47.06361111111111,7.8,16.09,18.5,0.3,0.76,,46,10,Tr
NGC4248,184.45791666666665,47.40916666666666,7.4,10.59,13.14,3.31,0.43,484,66,8," "
KK134,184.89083333333332,47.45166666666666,7.8,12.84,17.0,0.37,0.94,,24,-3,Sph
[KKH2011]S11,185.12541666666664,47.49027777777777,7.8,16.33,20.5,0.28,0.9,,31,-3,Sph
KK132,184.7770833333333,47.73083333333333,7.8,14.34,18.5,0.36,0.84,,37,-1,Sph
BTS132,185.94249999999997,47.65888888888888,7.8,14.23,18.4,0.39,0.68,,60,-3,Sph
UGC07267,183.8483333333333,51.349999999999994,12.9,11.94,14.79,2.09,0.32,473,73,8," "
UGC07298,184.11916666666664,52.22722222222222,4.21,13.29,15.95,0.85,0.55,174,67,10,Ir
MCG +09-20-131,183.9445833333333,52.387499999999996,4.59,12.86,15.3,1.05,0.3,159,90,10,Ir
NGC4068,181.00999999999996,52.588611111111106,4.31,10.76,13.19,2.95,0.53,210,69,9,Im
KK194,199.33124999999998,44.39666666666666,10.0,15.19,17.6,0.63,0.58,,64,10,Ir
DDO168,198.61916666666664,45.91944444444444,4.33,11.11,12.97,3.89,0.39,191,90,10,Ir
NGC5194,202.4695833333333,47.234444444444435,8.4,5.5,8.61,15.85,0.62,446,53,5," "
NGC5195,202.4945833333333,47.26805555555555,7.66,6.25,10.45,6.92,0.92,455,25,0," "
